Province,Female,Male,Unidentified,Province
,0.0,100.0,0.0,
Abra,30.0,60.0,10.0,ABRA
Agusan del Norte,27.27,72.73,0.0,AGUSAN DEL NORTE
Agusan del Sur,33.33,60.0,6.67,AGUSAN DEL SUR
Aklan,8.33,91.67,0.0,AKLAN
Albay,6.06,93.94,0.0,ALBAY
Antipolo,12.5,87.5,0.0,ANTIPOLO
Antipolo City,0.0,100.0,0.0,ANTIPOLO CITY
Antique,0.0,100.0,0.0,ANTIQUE
Apayao,37.5,62.5,0.0,APAYAO
Aurora,9.09,90.91,0.0,AURORA
Bacolod,0.0,100.0,0.0,BACOLOD
Bacolod City,0.0,100.0,0.0,BACOLOD CITY
Baguio,0.0,100.0,0.0,BAGUIO
Baguio City,0.0,100.0,0.0,BAGUIO CITY
Basilan,45.45,45.45,9.09,BASILAN
Bataan,22.73,77.27,0.0,BATAAN
Batanes,36.36,63.64,0.0,BATANES
Batangas,37.5,62.5,0.0,BATANGAS
Benguet,0.0,100.0,0.0,BENGUET
Biliran,0.0,100.0,0.0,BILIRAN
Biñan,100.0,0.0,0.0,BIÑAN
Bohol,21.21,78.79,0.0,BOHOL
Bukidnon,19.44,75.0,5.56,BUKIDNON
Bulacan,29.55,70.45,0.0,BULACAN
Cagayan,11.76,88.24,0.0,CAGAYAN
Cagayan de Oro,0.0,100.0,0.0,CAGAYAN DE ORO
Cagayan de Oro City,12.5,87.5,0.0,CAGAYAN DE ORO CITY
Calamba,0.0,100.0,0.0,CALAMBA
Caloocan,12.5,87.5,0.0,CALOOCAN
Caloocan City,13.33,86.67,0.0,CALOOCAN CITY
Camarines Norte,26.67,73.33,0.0,CAMARINES NORTE
Camarines Sur,4.17,95.83,0.0,CAMARINES SUR
Camiguin,0.0,100.0,0.0,CAMIGUIN
Capiz,4.35,95.65,0.0,CAPIZ
Catanduanes,0.0,100.0,0.0,CATANDUANES
Cavite,8.16,85.71,6.12,CAVITE
Cebu,13.04,86.96,0.0,CEBU
Cebu City,9.09,90.91,0.0,CEBU CITY
Compostela Valley,18.75,81.25,0.0,COMPOSTELA VALLEY
Cotabato,16.67,83.33,0.0,COTABATO
Cotabato (North),23.53,70.59,5.88,COTABATO (NORTH)
Dasmariñas City,0.0,100.0,0.0,DASMARIÑAS CITY
Davao (Davao del Norte),0.0,100.0,0.0,DAVAO (DAVAO DEL NORTE)
Davao City,8.82,91.18,0.0,DAVAO CITY
Davao Occidental,100.0,0.0,0.0,DAVAO OCCIDENTAL
Davao Oriental,59.09,40.91,0.0,DAVAO ORIENTAL
Davao del Norte,0.0,100.0,0.0,DAVAO DEL NORTE
Davao del Sur,15.0,85.0,0.0,DAVAO DEL SUR
Dinagat Islands,75.0,25.0,0.0,DINAGAT ISLANDS
Dinagat Islands6,0.0,100.0,0.0,DINAGAT ISLANDS6
Eastern Samar,9.09,90.91,0.0,EASTERN SAMAR
Guimaras,33.33,66.67,0.0,GUIMARAS
Ifugao,0.0,100.0,0.0,IFUGAO
Iligan,0.0,100.0,0.0,ILIGAN
Iligan City,0.0,100.0,0.0,ILIGAN CITY
Ilocos Norte,31.82,68.18,0.0,ILOCOS NORTE
Ilocos Sur,8.7,78.26,13.04,ILOCOS SUR
Iloilo,12.73,81.82,5.45,ILOILO
Iloilo City,36.36,63.64,0.0,ILOILO CITY
Isabela,19.15,80.85,0.0,ISABELA
Kalinga,0.0,100.0,0.0,KALINGA
Kalinga-Apayao,0.0,100.0,0.0,KALINGA-APAYAO
La Union,9.09,90.91,0.0,LA UNION
Laguna,15.91,84.09,0.0,LAGUNA
Lanao del Norte,13.64,86.36,0.0,LANAO DEL NORTE
Lanao del Sur,0.0,81.82,18.18,LANAO DEL SUR
Lapu-Lapu City,75.0,25.0,0.0,LAPU-LAPU CITY
Las Piñas,0.0,100.0,0.0,LAS PIÑAS
Las Piñas City,75.0,25.0,0.0,LAS PIÑAS CITY
Las Piñas-Muntinlupa,0.0,100.0,0.0,LAS PIÑAS-MUNTINLUPA
Leyte,23.64,70.91,5.45,LEYTE
Maguindanao,13.64,63.64,22.73,MAGUINDANAO
Makati,50.0,50.0,0.0,MAKATI
Makati City,0.0,100.0,0.0,MAKATI CITY
Malabon,75.0,25.0,0.0,MALABON
Malabon City-Navotas,0.0,100.0,0.0,MALABON CITY-NAVOTAS
Malabon City–Navotas,0.0,100.0,0.0,MALABON CITY–NAVOTAS
Malabon City–Navotas City,100.0,0.0,0.0,MALABON CITY–NAVOTAS CITY
Malabon-Navotas,100.0,0.0,0.0,MALABON-NAVOTAS
Malabon–Navotas,50.0,50.0,0.0,MALABON–NAVOTAS
Mandaluyong,16.67,83.33,0.0,MANDALUYONG
Mandaluyong City,0.0,100.0,0.0,MANDALUYONG CITY
Manila,21.21,78.79,0.0,MANILA
Marikina,8.33,91.67,0.0,MARIKINA
Marikina City,0.0,100.0,0.0,MARIKINA CITY
Marinduque,41.67,58.33,0.0,MARINDUQUE
Masbate,30.3,69.7,0.0,MASBATE
Misamis Occidental,27.27,72.73,0.0,MISAMIS OCCIDENTAL
Misamis Oriental,13.64,86.36,0.0,MISAMIS ORIENTAL
Mountain Province,9.09,90.91,0.0,MOUNTAIN PROVINCE
Muntinlupa,0.0,100.0,0.0,MUNTINLUPA
Muntinlupa City,0.0,100.0,0.0,MUNTINLUPA CITY
Navotas,75.0,25.0,0.0,NAVOTAS
Negros Occidental,13.43,86.57,0.0,NEGROS OCCIDENTAL
Negros Oriental,12.12,87.88,0.0,NEGROS ORIENTAL
North Cotabato,50.0,50.0,0.0,NORTH COTABATO
Northern Samar,0.0,100.0,0.0,NORTHERN SAMAR
Nueva Ecija,43.18,56.82,0.0,NUEVA ECIJA
Nueva Vizcaya,18.18,81.82,0.0,NUEVA VIZCAYA
Occidental Mindoro,63.64,36.36,0.0,OCCIDENTAL MINDORO
Oriental Mindoro,4.55,95.45,0.0,ORIENTAL MINDORO
Palawan,0.0,100.0,0.0,PALAWAN
Pampanga,20.0,80.0,0.0,PAMPANGA
Pangasinan,21.21,78.79,0.0,PANGASINAN
Parañaque,16.67,83.33,0.0,PARAÑAQUE
Parañaque City,0.0,100.0,0.0,PARAÑAQUE CITY
Pasay,75.0,25.0,0.0,PASAY
Pasay City,42.86,57.14,0.0,PASAY CITY
Pasig,0.0,100.0,0.0,PASIG
Pasig City,0.0,100.0,0.0,PASIG CITY
Pateros-Taguig,0.0,100.0,0.0,PATEROS-TAGUIG
Pateros–Taguig,0.0,100.0,0.0,PATEROS–TAGUIG
Quezon,20.45,79.55,0.0,QUEZON
Quezon City,16.0,84.0,0.0,QUEZON CITY
Quirino,100.0,0.0,0.0,QUIRINO
Rizal,4.35,95.65,0.0,RIZAL
Romblon,0.0,100.0,0.0,ROMBLON
Samar,50.0,50.0,0.0,SAMAR
Samar (Western),0.0,100.0,0.0,SAMAR (WESTERN)
San Jose del Monte,50.0,50.0,0.0,SAN JOSE DEL MONTE
San Jose del Monte City,0.0,100.0,0.0,SAN JOSE DEL MONTE CITY
San Juan,0.0,87.5,12.5,SAN JUAN
San Juan City,0.0,100.0,0.0,SAN JUAN CITY
San Juan-Mandaluyong,0.0,100.0,0.0,SAN JUAN-MANDALUYONG
Sarangani,0.0,100.0,0.0,SARANGANI
Siquijor,9.09,90.91,0.0,SIQUIJOR
Sorsogon,13.64,86.36,0.0,SORSOGON
South Cotabato,45.83,54.17,0.0,SOUTH COTABATO
Southern Leyte,7.69,92.31,0.0,SOUTHERN LEYTE
Sultan Kudarat,6.25,93.75,0.0,SULTAN KUDARAT
Sulu,31.82,68.18,0.0,SULU
Surigao del Norte,18.18,81.82,0.0,SURIGAO DEL NORTE
Surigao del Sur,4.35,95.65,0.0,SURIGAO DEL SUR
Taguig,50.0,50.0,0.0,TAGUIG
Taguig City,0.0,100.0,0.0,TAGUIG CITY
Taguig City-Pateros,0.0,100.0,0.0,TAGUIG CITY-PATEROS
Taguig City–Pateros,50.0,50.0,0.0,TAGUIG CITY–PATEROS
Taguig–Pateros,0.0,100.0,0.0,TAGUIG–PATEROS
Tarlac,30.3,69.7,0.0,TARLAC
Tawi-Tawi,25.0,75.0,0.0,TAWI-TAWI
Valenzuela,0.0,100.0,0.0,VALENZUELA
Valenzuela City,0.0,100.0,0.0,VALENZUELA CITY
Zambales,39.13,60.87,0.0,ZAMBALES
Zamboanga City,37.5,62.5,0.0,ZAMBOANGA CITY
Zamboanga Sibugay,66.67,33.33,0.0,ZAMBOANGA SIBUGAY
Zamboanga del Norte,26.47,73.53,0.0,ZAMBOANGA DEL NORTE
Zamboanga del Sur,30.77,69.23,0.0,ZAMBOANGA DEL SUR
